season,average_day_temp,average_night_temp,total_sunshine_hours,total_rainfall,suitability
kharif,27.8,20.8,924.2874680388305,1239.8802049453818,not suitable
rabi,23.7,20.9,933.8777886192566,685.9543840521137,not suitable
rabi,21.5,20.1,977.4293828667828,1129.5832781092706,not suitable
kharif,26.1,21.4,912.5071716228626,1140.5071693257769,not suitable
pre-kharif,20.8,19.3,735.1903834894642,983.1502526685416,not suitable
pre-kharif,26.6,20.7,875.3069060882128,766.1133428233209,not suitable
pre-kharif,30.5,22.3,1086.6363719424915,1275.772334404137,suitable
rabi,25.1,17.6,984.8455392466542,742.3528305482769,not suitable
kharif,29.5,21.6,967.0887319217658,1129.8093446031855,not suitable
rabi,27.3,22.2,1147.5847404669537,660.1549656207274,not suitable
pre-kharif,25.1,18.5,798.1977101410085,1462.8442100524342,not suitable
rabi,26.3,21.8,1064.4112847614483,839.8164420005555,not suitable
rabi,27.7,20.6,1081.0211829918803,1198.4235774310268,suitable
pre-kharif,33.7,22.2,1114.7864054255729,900.8587013090005,not suitable
pre-kharif,29.5,22.9,923.2702694922649,1467.9344256647,not suitable
pre-kharif,29.2,21.8,1062.1649057818888,779.8353649640161,not suitable
kharif,27.2,21.1,902.7170394265762,1189.5968368033393,not suitable
kharif,29.4,22.9,1016.971819701363,1579.613944144513,not suitable
kharif,26.0,25.2,782.3910906364536,1402.549505398955,not suitable
pre-kharif,28.9,17.3,964.262711306594,810.0220521459858,not suitable
kharif,27.7,19.9,1052.906034868195,1223.3352414302253,not suitable
pre-kharif,31.4,19.6,1126.6764025981959,934.0304456726109,not suitable
pre-kharif,32.9,21.3,1076.3265518734336,987.3309523687068,not suitable
kharif,25.2,22.9,781.6621131892666,1473.0153920986231,not suitable
kharif,26.8,21.0,931.3478870586606,1277.3547238746005,not suitable
rabi,23.7,19.2,976.5035350238751,729.005762094459,not suitable
pre-kharif,30.3,22.3,977.0829976216053,1202.758247155849,not suitable
kharif,27.4,22.8,984.9815487971194,1519.884385644947,not suitable
kharif,31.2,22.5,1170.7837221877305,1677.9350831901486,not suitable
pre-kharif,31.3,22.5,1132.8490446217288,1094.342890829247,not suitable
kharif,29.2,23.1,1100.3029702317542,1463.7451335898677,not suitable
pre-kharif,29.3,21.5,970.2885013617976,920.1090793385829,not suitable
pre-kharif,31.4,22.3,1126.6921840392383,973.6891624811706,not suitable
rabi,24.8,21.6,1009.4884309400064,1020.2030028453462,not suitable
rabi,22.8,19.1,809.004396697892,677.6361763936062,not suitable
rabi,25.0,17.5,1012.6084556237727,599.7347027959617,not suitable
kharif,30.2,22.0,1117.9291238574835,1314.2602897670356,suitable
pre-kharif,29.0,19.9,930.0216773531507,938.1808131907474,not suitable
kharif,31.2,20.2,1127.0576731677509,1409.244669209517,suitable
kharif,35.5,23.2,1451.833562604944,1302.26264968114,not suitable
pre-kharif,29.5,23.7,988.4938511725173,832.8258293729401,not suitable
kharif,27.3,22.2,1023.8244414334656,1051.8161107757405,not suitable
pre-kharif,28.0,23.1,994.4683464260871,837.2834739136719,not suitable
rabi,24.0,20.2,912.1698047606367,962.7243976258346,not suitable
pre-kharif,28.4,23.5,968.0346230846469,1228.2332789886084,not suitable
